"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US09001,"State Senate District 1 (2022), Connecticut",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",0.5,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",0.8,HOUSING OCCUPANCY,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",1,Total housing units,"41,791",+/-882,"41,791",(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",2,Occupied housing units,"37,076",+/-898,88.7,+/-1.0
610U800US09001,"State Senate District 1 (2022), Connecticut",3,Vacant housing units,"4,715",+/-418,11.3,+/-1.0
610U800US09001,"State Senate District 1 (2022), Connecticut",3.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",4,Homeowner vacancy rate,0.7,+/-0.4,(X),(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",5,Rental vacancy rate,6.7,+/-1.1,(X),(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",5.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",5.5,UNITS IN STRUCTURE,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",6,Total housing units,"41,791",+/-882,"41,791",(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",7,"1-unit, detached","12,339",+/-707,29.5,+/-1.6
610U800US09001,"State Senate District 1 (2022), Connecticut",8,"1-unit, attached","2,218",+/-408,5.3,+/-1.0
610U800US09001,"State Senate District 1 (2022), Connecticut",9,2 units,"4,813",+/-628,11.5,+/-1.5
610U800US09001,"State Senate District 1 (2022), Connecticut",10,3 or 4 units,"7,923",+/-626,19.0,+/-1.5
610U800US09001,"State Senate District 1 (2022), Connecticut",11,5 to 9 units,"4,541",+/-470,10.9,+/-1.1
610U800US09001,"State Senate District 1 (2022), Connecticut",12,10 to 19 units,"2,117",+/-358,5.1,+/-0.8
610U800US09001,"State Senate District 1 (2022), Connecticut",13,20 or more units,"7,821",+/-556,18.7,+/-1.3
610U800US09001,"State Senate District 1 (2022), Connecticut",14,Mobile home,19,+/-32,0.0,+/-0.1
610U800US09001,"State Senate District 1 (2022), Connecticut",15,"Boat, RV, van, etc.",0,+/-31,0.0,+/-0.1
610U800US09001,"State Senate District 1 (2022), Connecticut",15.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",15.5,YEAR STRUCTURE BUILT,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",16,Total housing units,"41,791",+/-882,"41,791",(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",17,Built 2020 or later,0,+/-31,0.0,+/-0.1
610U800US09001,"State Senate District 1 (2022), Connecticut",18,Built 2010 to 2019,875,+/-170,2.1,+/-0.4
610U800US09001,"State Senate District 1 (2022), Connecticut",19,Built 2000 to 2009,"1,238",+/-219,3.0,+/-0.5
610U800US09001,"State Senate District 1 (2022), Connecticut",20,Built 1990 to 1999,"1,707",+/-343,4.1,+/-0.8
610U800US09001,"State Senate District 1 (2022), Connecticut",21,Built 1980 to 1989,"3,717",+/-388,8.9,+/-0.9
610U800US09001,"State Senate District 1 (2022), Connecticut",22,Built 1970 to 1979,"3,068",+/-358,7.3,+/-0.9
610U800US09001,"State Senate District 1 (2022), Connecticut",23,Built 1960 to 1969,"5,964",+/-579,14.3,+/-1.3
610U800US09001,"State Senate District 1 (2022), Connecticut",24,Built 1950 to 1959,"6,313",+/-544,15.1,+/-1.3
610U800US09001,"State Senate District 1 (2022), Connecticut",25,Built 1940 to 1949,"2,952",+/-379,7.1,+/-0.9
610U800US09001,"State Senate District 1 (2022), Connecticut",26,Built 1939 or earlier,"15,957",+/-816,38.2,+/-1.7
610U800US09001,"State Senate District 1 (2022), Connecticut",26.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",26.5,ROOMS,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",27,Total housing units,"41,791",+/-882,"41,791",(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",28,1 room,"1,546",+/-301,3.7,+/-0.7
610U800US09001,"State Senate District 1 (2022), Connecticut",29,2 rooms,"2,057",+/-349,4.9,+/-0.8
610U800US09001,"State Senate District 1 (2022), Connecticut",30,3 rooms,"6,126",+/-638,14.7,+/-1.5
610U800US09001,"State Senate District 1 (2022), Connecticut",31,4 rooms,"7,837",+/-642,18.8,+/-1.4
610U800US09001,"State Senate District 1 (2022), Connecticut",32,5 rooms,"11,147",+/-791,26.7,+/-2.0
610U800US09001,"State Senate District 1 (2022), Connecticut",33,6 rooms,"6,528",+/-603,15.6,+/-1.4
610U800US09001,"State Senate District 1 (2022), Connecticut",34,7 rooms,"3,147",+/-559,7.5,+/-1.3
610U800US09001,"State Senate District 1 (2022), Connecticut",35,8 rooms,"1,921",+/-274,4.6,+/-0.7
610U800US09001,"State Senate District 1 (2022), Connecticut",36,9 rooms or more,"1,482",+/-330,3.5,+/-0.8
610U800US09001,"State Senate District 1 (2022), Connecticut",37,Median rooms,4.8,+/-0.1,(X),(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",37.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",37.5,BEDROOMS,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",38,Total housing units,"41,791",+/-882,"41,791",(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",39,No bedroom,"1,597",+/-305,3.8,+/-0.7
610U800US09001,"State Senate District 1 (2022), Connecticut",40,1 bedroom,"8,709",+/-712,20.8,+/-1.6
610U800US09001,"State Senate District 1 (2022), Connecticut",41,2 bedrooms,"14,646",+/-871,35.0,+/-1.9
610U800US09001,"State Senate District 1 (2022), Connecticut",42,3 bedrooms,"13,305",+/-815,31.8,+/-1.9
610U800US09001,"State Senate District 1 (2022), Connecticut",43,4 bedrooms,"2,911",+/-340,7.0,+/-0.8
610U800US09001,"State Senate District 1 (2022), Connecticut",44,5 or more bedrooms,623,+/-175,1.5,+/-0.4
610U800US09001,"State Senate District 1 (2022), Connecticut",44.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",44.5,HOUSING TENURE,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",45,Occupied housing units,"37,076",+/-898,"37,076",(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",46,Owner-occupied,"14,885",+/-746,40.1,+/-1.9
610U800US09001,"State Senate District 1 (2022), Connecticut",47,Renter-occupied,"22,191",+/-931,59.9,+/-1.9
610U800US09001,"State Senate District 1 (2022), Connecticut",47.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",48,Average household size of owner-occupied unit,2.68,+/-0.09,(X),(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",49,Average household size of renter-occupied unit,2.36,+/-0.08,(X),(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",49.3,,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
610U800US09001,"State Senate District 1 (2022), Connecticut",50,Occupied housing units,"37,076",+/-898,"37,076",(X)
610U800US09001,"State Senate District 1 (2022), Connecticut",51,Moved in 2019 or later,"4,117",+/-642,11.1,+/-1.7
610U800US09001,"State Senate District 1 (2022), Connecticut",52,Moved in 2015 to 2018,"11,299",+/-761,30.5,+/-1.9
