"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US11001,"Ward 1 (2022), District of Columbia",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",0.5,,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",0.8,HOUSING OCCUPANCY,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",1,Total housing units,"42,860","+/-1,161","42,860",(X)
610U800US11001,"Ward 1 (2022), District of Columbia",2,Occupied housing units,"38,776","+/-1,206",90.5,+/-1.3
610U800US11001,"Ward 1 (2022), District of Columbia",3,Vacant housing units,"4,084",+/-547,9.5,+/-1.3
610U800US11001,"Ward 1 (2022), District of Columbia",3.3,,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",4,Homeowner vacancy rate,1.9,+/-1.0,(X),(X)
610U800US11001,"Ward 1 (2022), District of Columbia",5,Rental vacancy rate,6.4,+/-1.4,(X),(X)
610U800US11001,"Ward 1 (2022), District of Columbia",5.3,,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",5.5,UNITS IN STRUCTURE,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",6,Total housing units,"42,860","+/-1,161","42,860",(X)
610U800US11001,"Ward 1 (2022), District of Columbia",7,"1-unit, detached","1,288",+/-353,3.0,+/-0.8
610U800US11001,"Ward 1 (2022), District of Columbia",8,"1-unit, attached","8,005",+/-611,18.7,+/-1.4
610U800US11001,"Ward 1 (2022), District of Columbia",9,2 units,"2,022",+/-330,4.7,+/-0.8
610U800US11001,"Ward 1 (2022), District of Columbia",10,3 or 4 units,"2,342",+/-336,5.5,+/-0.8
610U800US11001,"Ward 1 (2022), District of Columbia",11,5 to 9 units,"2,595",+/-384,6.1,+/-0.9
610U800US11001,"Ward 1 (2022), District of Columbia",12,10 to 19 units,"3,596",+/-470,8.4,+/-1.1
610U800US11001,"Ward 1 (2022), District of Columbia",13,20 or more units,"22,988","+/-1,167",53.6,+/-1.9
610U800US11001,"Ward 1 (2022), District of Columbia",14,Mobile home,7,+/-18,0.0,+/-0.1
610U800US11001,"Ward 1 (2022), District of Columbia",15,"Boat, RV, van, etc.",17,+/-30,0.0,+/-0.1
610U800US11001,"Ward 1 (2022), District of Columbia",15.3,,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",15.5,YEAR STRUCTURE BUILT,,,,
610U800US11001,"Ward 1 (2022), District of Columbia",16,Total housing units,"42,860","+/-1,161","42,860",(X)
610U800US11001,"Ward 1 (2022), District of Columbia",17,Built 2020 or later,103,+/-66,0.2,+/-0.2
610U800US11001,"Ward 1 (2022), District of Columbia",18,Built 2010 to 2019,"4,298",+/-523,10.0,+/-1.1
610U800US11001,"Ward 1 (2022), District of Columbia",19,Built 2000 to 2009,"3,451",+/-294,8.1,+/-0.7
610U800US11001,"Ward 1 (2022), District of Columbia",20,Built 1990 to 1999,"1,055",+/-340,2.5,+/-0.8
