"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US10001,"State Senate District 1 (2022), Delaware",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",0.5,,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",0.8,HOUSING OCCUPANCY,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",1,Total housing units,"23,080",+/-971,"23,080",(X)
610U800US10001,"State Senate District 1 (2022), Delaware",2,Occupied housing units,"21,392",+/-962,92.7,+/-1.3
610U800US10001,"State Senate District 1 (2022), Delaware",3,Vacant housing units,"1,688",+/-304,7.3,+/-1.3
610U800US10001,"State Senate District 1 (2022), Delaware",3.3,,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",4,Homeowner vacancy rate,1.0,+/-0.7,(X),(X)
610U800US10001,"State Senate District 1 (2022), Delaware",5,Rental vacancy rate,6.9,+/-2.8,(X),(X)
610U800US10001,"State Senate District 1 (2022), Delaware",5.3,,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",5.5,UNITS IN STRUCTURE,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",6,Total housing units,"23,080",+/-971,"23,080",(X)
610U800US10001,"State Senate District 1 (2022), Delaware",7,"1-unit, detached","9,071",+/-535,39.3,+/-2.1
610U800US10001,"State Senate District 1 (2022), Delaware",8,"1-unit, attached","4,919",+/-438,21.3,+/-1.9
610U800US10001,"State Senate District 1 (2022), Delaware",9,2 units,858,+/-298,3.7,+/-1.3
610U800US10001,"State Senate District 1 (2022), Delaware",10,3 or 4 units,"1,182",+/-427,5.1,+/-1.8
610U800US10001,"State Senate District 1 (2022), Delaware",11,5 to 9 units,"1,847",+/-366,8.0,+/-1.6
610U800US10001,"State Senate District 1 (2022), Delaware",12,10 to 19 units,963,+/-282,4.2,+/-1.2
610U800US10001,"State Senate District 1 (2022), Delaware",13,20 or more units,"4,170",+/-526,18.1,+/-2.1
610U800US10001,"State Senate District 1 (2022), Delaware",14,Mobile home,64,+/-49,0.3,+/-0.2
610U800US10001,"State Senate District 1 (2022), Delaware",15,"Boat, RV, van, etc.",6,+/-9,0.0,+/-0.1
610U800US10001,"State Senate District 1 (2022), Delaware",15.3,,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",15.5,YEAR STRUCTURE BUILT,,,,
610U800US10001,"State Senate District 1 (2022), Delaware",16,Total housing units,"23,080",+/-971,"23,080",(X)
610U800US10001,"State Senate District 1 (2022), Delaware",17,Built 2020 or later,20,+/-28,0.1,+/-0.1
610U800US10001,"State Senate District 1 (2022), Delaware",18,Built 2010 to 2019,470,+/-219,2.0,+/-0.9
610U800US10001,"State Senate District 1 (2022), Delaware",19,Built 2000 to 2009,617,+/-196,2.7,+/-0.8
