"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US19001,"State Senate District 1 (2022), Iowa",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",0.5,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",0.8,HOUSING OCCUPANCY,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",1,Total housing units,"25,461",+/-477,"25,461",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",2,Occupied housing units,"23,730",+/-605,93.2,+/-1.4
610U800US19001,"State Senate District 1 (2022), Iowa",3,Vacant housing units,"1,731",+/-365,6.8,+/-1.4
610U800US19001,"State Senate District 1 (2022), Iowa",3.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",4,Homeowner vacancy rate,1.8,+/-0.9,(X),(X)
610U800US19001,"State Senate District 1 (2022), Iowa",5,Rental vacancy rate,5.1,+/-1.9,(X),(X)
610U800US19001,"State Senate District 1 (2022), Iowa",5.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",5.5,UNITS IN STRUCTURE,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",6,Total housing units,"25,461",+/-477,"25,461",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",7,"1-unit, detached","17,749",+/-653,69.7,+/-2.1
610U800US19001,"State Senate District 1 (2022), Iowa",8,"1-unit, attached",430,+/-135,1.7,+/-0.5
610U800US19001,"State Senate District 1 (2022), Iowa",9,2 units,"1,138",+/-240,4.5,+/-0.9
610U800US19001,"State Senate District 1 (2022), Iowa",10,3 or 4 units,967,+/-242,3.8,+/-0.9
610U800US19001,"State Senate District 1 (2022), Iowa",11,5 to 9 units,931,+/-216,3.7,+/-0.9
610U800US19001,"State Senate District 1 (2022), Iowa",12,10 to 19 units,875,+/-225,3.4,+/-0.9
610U800US19001,"State Senate District 1 (2022), Iowa",13,20 or more units,"2,224",+/-354,8.7,+/-1.4
610U800US19001,"State Senate District 1 (2022), Iowa",14,Mobile home,"1,129",+/-299,4.4,+/-1.2
610U800US19001,"State Senate District 1 (2022), Iowa",15,"Boat, RV, van, etc.",18,+/-28,0.1,+/-0.1
610U800US19001,"State Senate District 1 (2022), Iowa",15.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",15.5,YEAR STRUCTURE BUILT,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",16,Total housing units,"25,461",+/-477,"25,461",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",17,Built 2020 or later,30,+/-40,0.1,+/-0.2
610U800US19001,"State Senate District 1 (2022), Iowa",18,Built 2010 to 2019,565,+/-185,2.2,+/-0.7
610U800US19001,"State Senate District 1 (2022), Iowa",19,Built 2000 to 2009,"1,315",+/-297,5.2,+/-1.1
610U800US19001,"State Senate District 1 (2022), Iowa",20,Built 1990 to 1999,"1,999",+/-326,7.9,+/-1.3
610U800US19001,"State Senate District 1 (2022), Iowa",21,Built 1980 to 1989,"1,204",+/-270,4.7,+/-1.0
610U800US19001,"State Senate District 1 (2022), Iowa",22,Built 1970 to 1979,"2,762",+/-441,10.8,+/-1.7
610U800US19001,"State Senate District 1 (2022), Iowa",23,Built 1960 to 1969,"2,563",+/-365,10.1,+/-1.4
610U800US19001,"State Senate District 1 (2022), Iowa",24,Built 1950 to 1959,"3,958",+/-460,15.5,+/-1.8
610U800US19001,"State Senate District 1 (2022), Iowa",25,Built 1940 to 1949,"2,294",+/-341,9.0,+/-1.3
610U800US19001,"State Senate District 1 (2022), Iowa",26,Built 1939 or earlier,"8,771",+/-498,34.4,+/-1.9
610U800US19001,"State Senate District 1 (2022), Iowa",26.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",26.5,ROOMS,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",27,Total housing units,"25,461",+/-477,"25,461",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",28,1 room,879,+/-230,3.5,+/-0.9
610U800US19001,"State Senate District 1 (2022), Iowa",29,2 rooms,533,+/-150,2.1,+/-0.6
610U800US19001,"State Senate District 1 (2022), Iowa",30,3 rooms,"1,853",+/-316,7.3,+/-1.3
610U800US19001,"State Senate District 1 (2022), Iowa",31,4 rooms,"4,308",+/-446,16.9,+/-1.7
610U800US19001,"State Senate District 1 (2022), Iowa",32,5 rooms,"4,433",+/-455,17.4,+/-1.7
610U800US19001,"State Senate District 1 (2022), Iowa",33,6 rooms,"4,505",+/-522,17.7,+/-2.0
610U800US19001,"State Senate District 1 (2022), Iowa",34,7 rooms,"3,233",+/-322,12.7,+/-1.3
610U800US19001,"State Senate District 1 (2022), Iowa",35,8 rooms,"2,247",+/-363,8.8,+/-1.4
610U800US19001,"State Senate District 1 (2022), Iowa",36,9 rooms or more,"3,470",+/-362,13.6,+/-1.3
610U800US19001,"State Senate District 1 (2022), Iowa",37,Median rooms,5.7,+/-0.2,(X),(X)
610U800US19001,"State Senate District 1 (2022), Iowa",37.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",37.5,BEDROOMS,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",38,Total housing units,"25,461",+/-477,"25,461",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",39,No bedroom,917,+/-229,3.6,+/-0.9
610U800US19001,"State Senate District 1 (2022), Iowa",40,1 bedroom,"3,141",+/-363,12.3,+/-1.4
610U800US19001,"State Senate District 1 (2022), Iowa",41,2 bedrooms,"7,336",+/-572,28.8,+/-2.3
610U800US19001,"State Senate District 1 (2022), Iowa",42,3 bedrooms,"9,038",+/-608,35.5,+/-2.2
610U800US19001,"State Senate District 1 (2022), Iowa",43,4 bedrooms,"3,902",+/-452,15.3,+/-1.7
610U800US19001,"State Senate District 1 (2022), Iowa",44,5 or more bedrooms,"1,127",+/-299,4.4,+/-1.2
610U800US19001,"State Senate District 1 (2022), Iowa",44.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",44.5,HOUSING TENURE,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",45,Occupied housing units,"23,730",+/-605,"23,730",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",46,Owner-occupied,"15,024",+/-647,63.3,+/-2.1
610U800US19001,"State Senate District 1 (2022), Iowa",47,Renter-occupied,"8,706",+/-545,36.7,+/-2.1
610U800US19001,"State Senate District 1 (2022), Iowa",47.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",48,Average household size of owner-occupied unit,2.72,+/-0.09,(X),(X)
610U800US19001,"State Senate District 1 (2022), Iowa",49,Average household size of renter-occupied unit,2.51,+/-0.12,(X),(X)
610U800US19001,"State Senate District 1 (2022), Iowa",49.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",50,Occupied housing units,"23,730",+/-605,"23,730",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",51,Moved in 2019 or later,"2,368",+/-336,10.0,+/-1.4
610U800US19001,"State Senate District 1 (2022), Iowa",52,Moved in 2015 to 2018,"7,087",+/-532,29.9,+/-2.1
610U800US19001,"State Senate District 1 (2022), Iowa",53,Moved in 2010 to 2014,"4,081",+/-466,17.2,+/-1.9
610U800US19001,"State Senate District 1 (2022), Iowa",54,Moved in 2000 to 2009,"5,065",+/-461,21.3,+/-1.9
610U800US19001,"State Senate District 1 (2022), Iowa",55,Moved in 1990 to 1999,"2,450",+/-302,10.3,+/-1.2
610U800US19001,"State Senate District 1 (2022), Iowa",56,Moved in 1989 and earlier,"2,679",+/-295,11.3,+/-1.1
610U800US19001,"State Senate District 1 (2022), Iowa",56.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",56.5,VEHICLES AVAILABLE,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",57,Occupied housing units,"23,730",+/-605,"23,730",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",58,No vehicles available,"2,124",+/-299,9.0,+/-1.2
610U800US19001,"State Senate District 1 (2022), Iowa",59,1 vehicle available,"7,917",+/-567,33.4,+/-2.3
610U800US19001,"State Senate District 1 (2022), Iowa",60,2 vehicles available,"7,852",+/-581,33.1,+/-2.3
610U800US19001,"State Senate District 1 (2022), Iowa",61,3 or more vehicles available,"5,837",+/-571,24.6,+/-2.2
610U800US19001,"State Senate District 1 (2022), Iowa",61.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",61.5,HOUSE HEATING FUEL,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",62,Occupied housing units,"23,730",+/-605,"23,730",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",63,Utility gas,"15,777",+/-713,66.5,+/-2.7
610U800US19001,"State Senate District 1 (2022), Iowa",64,"Bottled, tank, or LP gas",664,+/-146,2.8,+/-0.6
610U800US19001,"State Senate District 1 (2022), Iowa",65,Electricity,"6,821",+/-674,28.7,+/-2.7
610U800US19001,"State Senate District 1 (2022), Iowa",66,"Fuel oil, kerosene, etc.",22,+/-21,0.1,+/-0.1
610U800US19001,"State Senate District 1 (2022), Iowa",67,Coal or coke,0,+/-24,0.0,+/-0.1
610U800US19001,"State Senate District 1 (2022), Iowa",68,Wood,0,+/-24,0.0,+/-0.1
610U800US19001,"State Senate District 1 (2022), Iowa",69,Solar energy,0,+/-24,0.0,+/-0.1
610U800US19001,"State Senate District 1 (2022), Iowa",70,Other fuel,165,+/-82,0.7,+/-0.3
610U800US19001,"State Senate District 1 (2022), Iowa",71,No fuel used,281,+/-178,1.2,+/-0.7
610U800US19001,"State Senate District 1 (2022), Iowa",71.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",71.5,SELECTED CHARACTERISTICS,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",72,Occupied housing units,"23,730",+/-605,"23,730",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",73,Lacking complete plumbing facilities,185,+/-164,0.8,+/-0.7
610U800US19001,"State Senate District 1 (2022), Iowa",74,Lacking complete kitchen facilities,348,+/-175,1.5,+/-0.7
610U800US19001,"State Senate District 1 (2022), Iowa",75,No telephone service available,418,+/-187,1.8,+/-0.8
610U800US19001,"State Senate District 1 (2022), Iowa",75.3,,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",75.5,OCCUPANTS PER ROOM,,,,
610U800US19001,"State Senate District 1 (2022), Iowa",76,Occupied housing units,"23,730",+/-605,"23,730",(X)
610U800US19001,"State Senate District 1 (2022), Iowa",77,1.00 or less,"22,943",+/-637,96.7,+/-0.8
