"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US31001,"State Senate District 1 (2022), Nebraska",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",0.5,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",0.8,HOUSING OCCUPANCY,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",1,Total housing units,"17,952",+/-115,"17,952",(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",2,Occupied housing units,"15,555",+/-319,86.6,+/-1.7
610U800US31001,"State Senate District 1 (2022), Nebraska",3,Vacant housing units,"2,397",+/-305,13.4,+/-1.7
610U800US31001,"State Senate District 1 (2022), Nebraska",3.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",4,Homeowner vacancy rate,0.8,+/-0.5,(X),(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",5,Rental vacancy rate,3.8,+/-2.2,(X),(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",5.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",5.5,UNITS IN STRUCTURE,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",6,Total housing units,"17,952",+/-115,"17,952",(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",7,"1-unit, detached","15,488",+/-239,86.3,+/-1.3
610U800US31001,"State Senate District 1 (2022), Nebraska",8,"1-unit, attached",227,+/-89,1.3,+/-0.5
610U800US31001,"State Senate District 1 (2022), Nebraska",9,2 units,286,+/-110,1.6,+/-0.6
610U800US31001,"State Senate District 1 (2022), Nebraska",10,3 or 4 units,391,+/-115,2.2,+/-0.6
610U800US31001,"State Senate District 1 (2022), Nebraska",11,5 to 9 units,398,+/-121,2.2,+/-0.7
610U800US31001,"State Senate District 1 (2022), Nebraska",12,10 to 19 units,107,+/-62,0.6,+/-0.3
610U800US31001,"State Senate District 1 (2022), Nebraska",13,20 or more units,456,+/-110,2.5,+/-0.6
610U800US31001,"State Senate District 1 (2022), Nebraska",14,Mobile home,595,+/-126,3.3,+/-0.7
610U800US31001,"State Senate District 1 (2022), Nebraska",15,"Boat, RV, van, etc.",4,+/-5,0.0,+/-0.1
610U800US31001,"State Senate District 1 (2022), Nebraska",15.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",15.5,YEAR STRUCTURE BUILT,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",16,Total housing units,"17,952",+/-115,"17,952",(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",17,Built 2020 or later,2,+/-3,0.0,+/-0.1
610U800US31001,"State Senate District 1 (2022), Nebraska",18,Built 2010 to 2019,544,+/-119,3.0,+/-0.7
610U800US31001,"State Senate District 1 (2022), Nebraska",19,Built 2000 to 2009,"1,586",+/-202,8.8,+/-1.1
610U800US31001,"State Senate District 1 (2022), Nebraska",20,Built 1990 to 1999,"1,346",+/-172,7.5,+/-1.0
610U800US31001,"State Senate District 1 (2022), Nebraska",21,Built 1980 to 1989,763,+/-144,4.3,+/-0.8
610U800US31001,"State Senate District 1 (2022), Nebraska",22,Built 1970 to 1979,"2,280",+/-238,12.7,+/-1.3
610U800US31001,"State Senate District 1 (2022), Nebraska",23,Built 1960 to 1969,"1,568",+/-207,8.7,+/-1.2
610U800US31001,"State Senate District 1 (2022), Nebraska",24,Built 1950 to 1959,"1,298",+/-191,7.2,+/-1.1
610U800US31001,"State Senate District 1 (2022), Nebraska",25,Built 1940 to 1949,"1,160",+/-176,6.5,+/-1.0
610U800US31001,"State Senate District 1 (2022), Nebraska",26,Built 1939 or earlier,"7,405",+/-332,41.2,+/-1.8
610U800US31001,"State Senate District 1 (2022), Nebraska",26.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",26.5,ROOMS,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",27,Total housing units,"17,952",+/-115,"17,952",(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",28,1 room,177,+/-84,1.0,+/-0.5
610U800US31001,"State Senate District 1 (2022), Nebraska",29,2 rooms,285,+/-74,1.6,+/-0.4
610U800US31001,"State Senate District 1 (2022), Nebraska",30,3 rooms,"1,073",+/-181,6.0,+/-1.0
610U800US31001,"State Senate District 1 (2022), Nebraska",31,4 rooms,"2,436",+/-233,13.6,+/-1.3
610U800US31001,"State Senate District 1 (2022), Nebraska",32,5 rooms,"3,220",+/-291,17.9,+/-1.6
610U800US31001,"State Senate District 1 (2022), Nebraska",33,6 rooms,"2,947",+/-265,16.4,+/-1.5
610U800US31001,"State Senate District 1 (2022), Nebraska",34,7 rooms,"2,619",+/-268,14.6,+/-1.5
610U800US31001,"State Senate District 1 (2022), Nebraska",35,8 rooms,"2,005",+/-229,11.2,+/-1.3
610U800US31001,"State Senate District 1 (2022), Nebraska",36,9 rooms or more,"3,190",+/-239,17.8,+/-1.3
610U800US31001,"State Senate District 1 (2022), Nebraska",37,Median rooms,6.1,+/-0.1,(X),(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",37.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",37.5,BEDROOMS,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",38,Total housing units,"17,952",+/-115,"17,952",(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",39,No bedroom,205,+/-86,1.1,+/-0.5
610U800US31001,"State Senate District 1 (2022), Nebraska",40,1 bedroom,"1,210",+/-174,6.7,+/-1.0
610U800US31001,"State Senate District 1 (2022), Nebraska",41,2 bedrooms,"5,670",+/-322,31.6,+/-1.8
610U800US31001,"State Senate District 1 (2022), Nebraska",42,3 bedrooms,"6,414",+/-353,35.7,+/-1.9
610U800US31001,"State Senate District 1 (2022), Nebraska",43,4 bedrooms,"3,324",+/-240,18.5,+/-1.4
610U800US31001,"State Senate District 1 (2022), Nebraska",44,5 or more bedrooms,"1,129",+/-146,6.3,+/-0.8
610U800US31001,"State Senate District 1 (2022), Nebraska",44.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",44.5,HOUSING TENURE,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",45,Occupied housing units,"15,555",+/-319,"15,555",(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",46,Owner-occupied,"11,697",+/-286,75.2,+/-1.7
610U800US31001,"State Senate District 1 (2022), Nebraska",47,Renter-occupied,"3,858",+/-294,24.8,+/-1.7
610U800US31001,"State Senate District 1 (2022), Nebraska",47.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",48,Average household size of owner-occupied unit,2.39,+/-0.05,(X),(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",49,Average household size of renter-occupied unit,2.29,+/-0.13,(X),(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",49.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",50,Occupied housing units,"15,555",+/-319,"15,555",(X)
610U800US31001,"State Senate District 1 (2022), Nebraska",51,Moved in 2019 or later,927,+/-186,6.0,+/-1.2
610U800US31001,"State Senate District 1 (2022), Nebraska",52,Moved in 2015 to 2018,"3,741",+/-353,24.1,+/-2.2
610U800US31001,"State Senate District 1 (2022), Nebraska",53,Moved in 2010 to 2014,"2,785",+/-287,17.9,+/-1.8
610U800US31001,"State Senate District 1 (2022), Nebraska",54,Moved in 2000 to 2009,"3,308",+/-260,21.3,+/-1.6
610U800US31001,"State Senate District 1 (2022), Nebraska",55,Moved in 1990 to 1999,"2,120",+/-177,13.6,+/-1.1
610U800US31001,"State Senate District 1 (2022), Nebraska",56,Moved in 1989 and earlier,"2,674",+/-202,17.2,+/-1.4
610U800US31001,"State Senate District 1 (2022), Nebraska",56.3,,,,,
610U800US31001,"State Senate District 1 (2022), Nebraska",56.5,VEHICLES AVAILABLE,,,,
