"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US35001,"State Senate District 001 (2022), New Mexico",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",0.5,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",0.8,HOUSING OCCUPANCY,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",1,Total housing units,"17,619",+/-588,"17,619",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",2,Occupied housing units,"15,265",+/-636,86.6,+/-2.3
610U800US35001,"State Senate District 001 (2022), New Mexico",3,Vacant housing units,"2,354",+/-418,13.4,+/-2.3
610U800US35001,"State Senate District 001 (2022), New Mexico",3.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",4,Homeowner vacancy rate,3.5,+/-1.5,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",5,Rental vacancy rate,12.6,+/-4.3,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",5.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",5.5,UNITS IN STRUCTURE,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",6,Total housing units,"17,619",+/-588,"17,619",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",7,"1-unit, detached","9,068",+/-488,51.5,+/-2.8
610U800US35001,"State Senate District 001 (2022), New Mexico",8,"1-unit, attached",587,+/-397,3.3,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",9,2 units,426,+/-215,2.4,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",10,3 or 4 units,"1,504",+/-397,8.5,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",11,5 to 9 units,446,+/-212,2.5,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",12,10 to 19 units,335,+/-137,1.9,+/-0.8
610U800US35001,"State Senate District 001 (2022), New Mexico",13,20 or more units,406,+/-166,2.3,+/-1.0
610U800US35001,"State Senate District 001 (2022), New Mexico",14,Mobile home,"4,749",+/-488,27.0,+/-2.5
610U800US35001,"State Senate District 001 (2022), New Mexico",15,"Boat, RV, van, etc.",98,+/-87,0.6,+/-0.5
610U800US35001,"State Senate District 001 (2022), New Mexico",15.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",15.5,YEAR STRUCTURE BUILT,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",16,Total housing units,"17,619",+/-588,"17,619",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",17,Built 2020 or later,10,+/-18,0.1,+/-0.1
610U800US35001,"State Senate District 001 (2022), New Mexico",18,Built 2010 to 2019,980,+/-254,5.6,+/-1.4
610U800US35001,"State Senate District 001 (2022), New Mexico",19,Built 2000 to 2009,"2,577",+/-459,14.6,+/-2.5
610U800US35001,"State Senate District 001 (2022), New Mexico",20,Built 1990 to 1999,"3,008",+/-448,17.1,+/-2.4
610U800US35001,"State Senate District 001 (2022), New Mexico",21,Built 1980 to 1989,"3,043",+/-483,17.3,+/-2.7
610U800US35001,"State Senate District 001 (2022), New Mexico",22,Built 1970 to 1979,"4,015",+/-524,22.8,+/-2.9
610U800US35001,"State Senate District 001 (2022), New Mexico",23,Built 1960 to 1969,"1,433",+/-308,8.1,+/-1.8
610U800US35001,"State Senate District 001 (2022), New Mexico",24,Built 1950 to 1959,"1,936",+/-359,11.0,+/-2.0
610U800US35001,"State Senate District 001 (2022), New Mexico",25,Built 1940 to 1949,453,+/-158,2.6,+/-0.9
610U800US35001,"State Senate District 001 (2022), New Mexico",26,Built 1939 or earlier,164,+/-83,0.9,+/-0.5
610U800US35001,"State Senate District 001 (2022), New Mexico",26.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",26.5,ROOMS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",27,Total housing units,"17,619",+/-588,"17,619",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",28,1 room,667,+/-290,3.8,+/-1.6
610U800US35001,"State Senate District 001 (2022), New Mexico",29,2 rooms,400,+/-161,2.3,+/-0.9
610U800US35001,"State Senate District 001 (2022), New Mexico",30,3 rooms,"1,286",+/-258,7.3,+/-1.4
610U800US35001,"State Senate District 001 (2022), New Mexico",31,4 rooms,"3,354",+/-644,19.0,+/-3.5
610U800US35001,"State Senate District 001 (2022), New Mexico",32,5 rooms,"4,934",+/-628,28.0,+/-3.5
610U800US35001,"State Senate District 001 (2022), New Mexico",33,6 rooms,"2,914",+/-349,16.5,+/-2.0
610U800US35001,"State Senate District 001 (2022), New Mexico",34,7 rooms,"1,646",+/-310,9.3,+/-1.8
610U800US35001,"State Senate District 001 (2022), New Mexico",35,8 rooms,984,+/-210,5.6,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",36,9 rooms or more,"1,434",+/-283,8.1,+/-1.6
610U800US35001,"State Senate District 001 (2022), New Mexico",37,Median rooms,5.1,+/-0.2,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",37.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",37.5,BEDROOMS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",38,Total housing units,"17,619",+/-588,"17,619",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",39,No bedroom,674,+/-291,3.8,+/-1.6
610U800US35001,"State Senate District 001 (2022), New Mexico",40,1 bedroom,852,+/-223,4.8,+/-1.3
610U800US35001,"State Senate District 001 (2022), New Mexico",41,2 bedrooms,"4,115",+/-502,23.4,+/-2.7
610U800US35001,"State Senate District 001 (2022), New Mexico",42,3 bedrooms,"9,012",+/-603,51.1,+/-3.2
610U800US35001,"State Senate District 001 (2022), New Mexico",43,4 bedrooms,"2,513",+/-410,14.3,+/-2.3
610U800US35001,"State Senate District 001 (2022), New Mexico",44,5 or more bedrooms,453,+/-167,2.6,+/-0.9
610U800US35001,"State Senate District 001 (2022), New Mexico",44.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",44.5,HOUSING TENURE,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",45,Occupied housing units,"15,265",+/-636,"15,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",46,Owner-occupied,"9,345",+/-616,61.2,+/-3.8
610U800US35001,"State Senate District 001 (2022), New Mexico",47,Renter-occupied,"5,920",+/-674,38.8,+/-3.8
610U800US35001,"State Senate District 001 (2022), New Mexico",47.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",48,Average household size of owner-occupied unit,2.88,+/-0.14,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",49,Average household size of renter-occupied unit,3.04,+/-0.22,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",49.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",49.5,YEAR HOUSEHOLDER MOVED INTO UNIT,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",50,Occupied housing units,"15,265",+/-636,"15,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",51,Moved in 2019 or later,"1,331",+/-439,8.7,+/-2.8
610U800US35001,"State Senate District 001 (2022), New Mexico",52,Moved in 2015 to 2018,"4,440",+/-444,29.1,+/-2.9
610U800US35001,"State Senate District 001 (2022), New Mexico",53,Moved in 2010 to 2014,"2,631",+/-465,17.2,+/-2.9
610U800US35001,"State Senate District 001 (2022), New Mexico",54,Moved in 2000 to 2009,"3,014",+/-401,19.7,+/-2.5
610U800US35001,"State Senate District 001 (2022), New Mexico",55,Moved in 1990 to 1999,"2,019",+/-313,13.2,+/-2.1
610U800US35001,"State Senate District 001 (2022), New Mexico",56,Moved in 1989 and earlier,"1,830",+/-329,12.0,+/-2.0
610U800US35001,"State Senate District 001 (2022), New Mexico",56.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",56.5,VEHICLES AVAILABLE,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",57,Occupied housing units,"15,265",+/-636,"15,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",58,No vehicles available,"1,116",+/-293,7.3,+/-1.9
610U800US35001,"State Senate District 001 (2022), New Mexico",59,1 vehicle available,"4,762",+/-502,31.2,+/-3.1
610U800US35001,"State Senate District 001 (2022), New Mexico",60,2 vehicles available,"5,874",+/-592,38.5,+/-3.5
610U800US35001,"State Senate District 001 (2022), New Mexico",61,3 or more vehicles available,"3,513",+/-461,23.0,+/-2.9
610U800US35001,"State Senate District 001 (2022), New Mexico",61.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",61.5,HOUSE HEATING FUEL,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",62,Occupied housing units,"15,265",+/-636,"15,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",63,Utility gas,"12,208",+/-729,80.0,+/-2.5
610U800US35001,"State Senate District 001 (2022), New Mexico",64,"Bottled, tank, or LP gas",521,+/-181,3.4,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",65,Electricity,"1,697",+/-335,11.1,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",66,"Fuel oil, kerosene, etc.",0,+/-28,0.0,+/-0.3
610U800US35001,"State Senate District 001 (2022), New Mexico",67,Coal or coke,10,+/-17,0.1,+/-0.1
610U800US35001,"State Senate District 001 (2022), New Mexico",68,Wood,626,+/-166,4.1,+/-1.1
610U800US35001,"State Senate District 001 (2022), New Mexico",69,Solar energy,0,+/-28,0.0,+/-0.3
610U800US35001,"State Senate District 001 (2022), New Mexico",70,Other fuel,196,+/-115,1.3,+/-0.8
610U800US35001,"State Senate District 001 (2022), New Mexico",71,No fuel used,7,+/-12,0.0,+/-0.1
610U800US35001,"State Senate District 001 (2022), New Mexico",71.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",71.5,SELECTED CHARACTERISTICS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",72,Occupied housing units,"15,265",+/-636,"15,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",73,Lacking complete plumbing facilities,5,+/-8,0.0,+/-0.1
610U800US35001,"State Senate District 001 (2022), New Mexico",74,Lacking complete kitchen facilities,128,+/-58,0.8,+/-0.4
610U800US35001,"State Senate District 001 (2022), New Mexico",75,No telephone service available,357,+/-150,2.3,+/-1.0
610U800US35001,"State Senate District 001 (2022), New Mexico",75.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",75.5,OCCUPANTS PER ROOM,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",76,Occupied housing units,"15,265",+/-636,"15,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",77,1.00 or less,"14,290",+/-636,93.6,+/-1.5
610U800US35001,"State Senate District 001 (2022), New Mexico",78,1.01 to 1.50,526,+/-174,3.4,+/-1.1
610U800US35001,"State Senate District 001 (2022), New Mexico",79,1.51 or more,449,+/-179,2.9,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",79.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",79.5,VALUE,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",80,Owner-occupied units,"9,345",+/-616,"9,345",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",81,"Less than $50,000","1,744",+/-310,18.7,+/-3.1
610U800US35001,"State Senate District 001 (2022), New Mexico",82,"$50,000 to $99,999",801,+/-228,8.6,+/-2.3
610U800US35001,"State Senate District 001 (2022), New Mexico",83,"$100,000 to $149,999","1,109",+/-255,11.9,+/-2.6
610U800US35001,"State Senate District 001 (2022), New Mexico",84,"$150,000 to $199,999","2,319",+/-345,24.8,+/-3.6
610U800US35001,"State Senate District 001 (2022), New Mexico",85,"$200,000 to $299,999","2,400",+/-403,25.7,+/-3.6
610U800US35001,"State Senate District 001 (2022), New Mexico",86,"$300,000 to $499,999",789,+/-172,8.4,+/-1.8
610U800US35001,"State Senate District 001 (2022), New Mexico",87,"$500,000 to $999,999",159,+/-109,1.7,+/-1.2
610U800US35001,"State Senate District 001 (2022), New Mexico",88,"$1,000,000 or more",24,+/-21,0.3,+/-0.2
610U800US35001,"State Senate District 001 (2022), New Mexico",89,Median (dollars),"174,000","+/-7,302",(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",89.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",89.5,MORTGAGE STATUS,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",90,Owner-occupied units,"9,345",+/-616,"9,345",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",91,Housing units with a mortgage,"5,080",+/-580,54.4,+/-4.6
610U800US35001,"State Senate District 001 (2022), New Mexico",92,Housing units without a mortgage,"4,265",+/-488,45.6,+/-4.6
610U800US35001,"State Senate District 001 (2022), New Mexico",92.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",92.5,SELECTED MONTHLY OWNER COSTS (SMOC),,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",93,Housing units with a mortgage,"5,080",+/-580,"5,080",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",94,Less than $500,102,+/-114,2.0,+/-2.2
610U800US35001,"State Senate District 001 (2022), New Mexico",95,$500 to $999,"1,012",+/-276,19.9,+/-4.7
610U800US35001,"State Senate District 001 (2022), New Mexico",96,"$1,000 to $1,499","2,134",+/-371,42.0,+/-6.0
610U800US35001,"State Senate District 001 (2022), New Mexico",97,"$1,500 to $1,999","1,279",+/-322,25.2,+/-5.6
610U800US35001,"State Senate District 001 (2022), New Mexico",98,"$2,000 to $2,499",329,+/-130,6.5,+/-2.4
610U800US35001,"State Senate District 001 (2022), New Mexico",99,"$2,500 to $2,999",141,+/-74,2.8,+/-1.4
610U800US35001,"State Senate District 001 (2022), New Mexico",100,"$3,000 or more",83,+/-87,1.6,+/-1.7
610U800US35001,"State Senate District 001 (2022), New Mexico",101,Median (dollars),"1,327",+/-75,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",101.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",102,Housing units without a mortgage,"4,265",+/-488,"4,265",(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",103,Less than $250,"1,034",+/-253,24.2,+/-5.0
610U800US35001,"State Senate District 001 (2022), New Mexico",104,$250 to $399,"1,283",+/-242,30.1,+/-5.3
610U800US35001,"State Senate District 001 (2022), New Mexico",105,$400 to $599,"1,211",+/-292,28.4,+/-5.5
610U800US35001,"State Senate District 001 (2022), New Mexico",106,$600 to $799,519,+/-173,12.2,+/-3.8
610U800US35001,"State Senate District 001 (2022), New Mexico",107,$800 to $999,173,+/-118,4.1,+/-2.8
610U800US35001,"State Senate District 001 (2022), New Mexico",108,"$1,000 or more",45,+/-46,1.1,+/-1.1
610U800US35001,"State Senate District 001 (2022), New Mexico",109,Median (dollars),376,+/-32,(X),(X)
610U800US35001,"State Senate District 001 (2022), New Mexico",109.3,,,,,
610U800US35001,"State Senate District 001 (2022), New Mexico",109.5,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,,,
