"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US36001,"State Senate District 1 (2022), New York",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US36001,"State Senate District 1 (2022), New York",0.5,,,,,
610U800US36001,"State Senate District 1 (2022), New York",0.8,HOUSING OCCUPANCY,,,,
610U800US36001,"State Senate District 1 (2022), New York",1,Total housing units,"161,535","+/-1,417","161,535",(X)
610U800US36001,"State Senate District 1 (2022), New York",2,Occupied housing units,"115,429","+/-1,504",71.5,+/-0.6
610U800US36001,"State Senate District 1 (2022), New York",3,Vacant housing units,"46,106",+/-979,28.5,+/-0.6
610U800US36001,"State Senate District 1 (2022), New York",3.3,,,,,
610U800US36001,"State Senate District 1 (2022), New York",4,Homeowner vacancy rate,1.2,+/-0.3,(X),(X)
610U800US36001,"State Senate District 1 (2022), New York",5,Rental vacancy rate,4.0,+/-1.3,(X),(X)
610U800US36001,"State Senate District 1 (2022), New York",5.3,,,,,
610U800US36001,"State Senate District 1 (2022), New York",5.5,UNITS IN STRUCTURE,,,,
610U800US36001,"State Senate District 1 (2022), New York",6,Total housing units,"161,535","+/-1,417","161,535",(X)
610U800US36001,"State Senate District 1 (2022), New York",7,"1-unit, detached","134,617","+/-1,420",83.3,+/-0.7
610U800US36001,"State Senate District 1 (2022), New York",8,"1-unit, attached","7,301",+/-602,4.5,+/-0.4
610U800US36001,"State Senate District 1 (2022), New York",9,2 units,"3,725",+/-591,2.3,+/-0.4
610U800US36001,"State Senate District 1 (2022), New York",10,3 or 4 units,"3,216",+/-545,2.0,+/-0.3
610U800US36001,"State Senate District 1 (2022), New York",11,5 to 9 units,"2,966",+/-392,1.8,+/-0.2
610U800US36001,"State Senate District 1 (2022), New York",12,10 to 19 units,"2,543",+/-386,1.6,+/-0.2
610U800US36001,"State Senate District 1 (2022), New York",13,20 or more units,"3,054",+/-335,1.9,+/-0.2
610U800US36001,"State Senate District 1 (2022), New York",14,Mobile home,"4,113",+/-599,2.5,+/-0.4
610U800US36001,"State Senate District 1 (2022), New York",15,"Boat, RV, van, etc.",0,+/-30,0.0,+/-0.1
610U800US36001,"State Senate District 1 (2022), New York",15.3,,,,,
610U800US36001,"State Senate District 1 (2022), New York",15.5,YEAR STRUCTURE BUILT,,,,
610U800US36001,"State Senate District 1 (2022), New York",16,Total housing units,"161,535","+/-1,417","161,535",(X)
610U800US36001,"State Senate District 1 (2022), New York",17,Built 2020 or later,197,+/-122,0.1,+/-0.1
610U800US36001,"State Senate District 1 (2022), New York",18,Built 2010 to 2019,"6,032",+/-672,3.7,+/-0.4
610U800US36001,"State Senate District 1 (2022), New York",19,Built 2000 to 2009,"18,218","+/-1,000",11.3,+/-0.6
610U800US36001,"State Senate District 1 (2022), New York",20,Built 1990 to 1999,"20,356",+/-968,12.6,+/-0.6
