"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US41001,"State Senate District 1 (2022), Oregon",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",0.5,,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",0.8,HOUSING OCCUPANCY,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",1,Total housing units,"66,836",+/-672,"66,836",(X)
610U800US41001,"State Senate District 1 (2022), Oregon",2,Occupied housing units,"59,995",+/-878,89.8,+/-1.0
610U800US41001,"State Senate District 1 (2022), Oregon",3,Vacant housing units,"6,841",+/-696,10.2,+/-1.0
610U800US41001,"State Senate District 1 (2022), Oregon",3.3,,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",4,Homeowner vacancy rate,1.6,+/-0.5,(X),(X)
610U800US41001,"State Senate District 1 (2022), Oregon",5,Rental vacancy rate,3.4,+/-1.5,(X),(X)
610U800US41001,"State Senate District 1 (2022), Oregon",5.3,,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",5.5,UNITS IN STRUCTURE,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",6,Total housing units,"66,836",+/-672,"66,836",(X)
610U800US41001,"State Senate District 1 (2022), Oregon",7,"1-unit, detached","44,689","+/-1,151",66.9,+/-1.6
610U800US41001,"State Senate District 1 (2022), Oregon",8,"1-unit, attached","2,048",+/-449,3.1,+/-0.7
610U800US41001,"State Senate District 1 (2022), Oregon",9,2 units,"1,214",+/-300,1.8,+/-0.4
610U800US41001,"State Senate District 1 (2022), Oregon",10,3 or 4 units,"1,933",+/-277,2.9,+/-0.4
610U800US41001,"State Senate District 1 (2022), Oregon",11,5 to 9 units,"1,024",+/-274,1.5,+/-0.4
610U800US41001,"State Senate District 1 (2022), Oregon",12,10 to 19 units,977,+/-251,1.5,+/-0.4
610U800US41001,"State Senate District 1 (2022), Oregon",13,20 or more units,"2,140",+/-439,3.2,+/-0.7
610U800US41001,"State Senate District 1 (2022), Oregon",14,Mobile home,"12,441",+/-836,18.6,+/-1.2
610U800US41001,"State Senate District 1 (2022), Oregon",15,"Boat, RV, van, etc.",370,+/-160,0.6,+/-0.2
610U800US41001,"State Senate District 1 (2022), Oregon",15.3,,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",15.5,YEAR STRUCTURE BUILT,,,,
610U800US41001,"State Senate District 1 (2022), Oregon",16,Total housing units,"66,836",+/-672,"66,836",(X)
610U800US41001,"State Senate District 1 (2022), Oregon",17,Built 2020 or later,54,+/-50,0.1,+/-0.1
610U800US41001,"State Senate District 1 (2022), Oregon",18,Built 2010 to 2019,"2,671",+/-449,4.0,+/-0.7
