"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US42001,"Senate District 1 (2022), Pennsylvania",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",0.5,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",0.8,HOUSING OCCUPANCY,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",1,Total housing units,"127,705","+/-1,962","127,705",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",2,Occupied housing units,"114,830","+/-2,146",89.9,+/-0.8
610U800US42001,"Senate District 1 (2022), Pennsylvania",3,Vacant housing units,"12,875",+/-959,10.1,+/-0.8
610U800US42001,"Senate District 1 (2022), Pennsylvania",3.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",4,Homeowner vacancy rate,1.8,+/-0.5,(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",5,Rental vacancy rate,7.4,+/-0.9,(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",5.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",5.5,UNITS IN STRUCTURE,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",6,Total housing units,"127,705","+/-1,962","127,705",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",7,"1-unit, detached","4,671",+/-482,3.7,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",8,"1-unit, attached","55,429","+/-1,468",43.4,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",9,2 units,"6,891",+/-811,5.4,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",10,3 or 4 units,"9,297",+/-762,7.3,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",11,5 to 9 units,"7,268",+/-669,5.7,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",12,10 to 19 units,"4,538",+/-693,3.6,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",13,20 or more units,"39,301","+/-1,315",30.8,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",14,Mobile home,310,+/-201,0.2,+/-0.2
610U800US42001,"Senate District 1 (2022), Pennsylvania",15,"Boat, RV, van, etc.",0,+/-27,0.0,+/-0.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",15.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",15.5,YEAR STRUCTURE BUILT,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",16,Total housing units,"127,705","+/-1,962","127,705",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",17,Built 2020 or later,149,+/-98,0.1,+/-0.1
610U800US42001,"Senate District 1 (2022), Pennsylvania",18,Built 2010 to 2019,"11,539",+/-855,9.0,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",19,Built 2000 to 2009,"8,231",+/-620,6.4,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",20,Built 1990 to 1999,"4,261",+/-574,3.3,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",21,Built 1980 to 1989,"6,845",+/-603,5.4,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",22,Built 1970 to 1979,"10,336",+/-948,8.1,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",23,Built 1960 to 1969,"9,231",+/-822,7.2,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",24,Built 1950 to 1959,"7,728",+/-613,6.1,+/-0.5
610U800US42001,"Senate District 1 (2022), Pennsylvania",25,Built 1940 to 1949,"6,651",+/-817,5.2,+/-0.6
610U800US42001,"Senate District 1 (2022), Pennsylvania",26,Built 1939 or earlier,"62,734","+/-1,933",49.1,+/-1.2
610U800US42001,"Senate District 1 (2022), Pennsylvania",26.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",26.5,ROOMS,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",27,Total housing units,"127,705","+/-1,962","127,705",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",28,1 room,"10,433",+/-975,8.2,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",29,2 rooms,"14,854",+/-988,11.6,+/-0.8
610U800US42001,"Senate District 1 (2022), Pennsylvania",30,3 rooms,"24,069","+/-1,294",18.8,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",31,4 rooms,"21,617","+/-1,285",16.9,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",32,5 rooms,"19,025","+/-1,200",14.9,+/-0.9
610U800US42001,"Senate District 1 (2022), Pennsylvania",33,6 rooms,"18,642","+/-1,050",14.6,+/-0.8
610U800US42001,"Senate District 1 (2022), Pennsylvania",34,7 rooms,"9,723",+/-891,7.6,+/-0.7
610U800US42001,"Senate District 1 (2022), Pennsylvania",35,8 rooms,"4,577",+/-490,3.6,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",36,9 rooms or more,"4,765",+/-555,3.7,+/-0.4
610U800US42001,"Senate District 1 (2022), Pennsylvania",37,Median rooms,4.2,+/-0.1,(X),(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",37.3,,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",37.5,BEDROOMS,,,,
610U800US42001,"Senate District 1 (2022), Pennsylvania",38,Total housing units,"127,705","+/-1,962","127,705",(X)
610U800US42001,"Senate District 1 (2022), Pennsylvania",39,No bedroom,"12,016","+/-1,043",9.4,+/-0.8
610U800US42001,"Senate District 1 (2022), Pennsylvania",40,1 bedroom,"33,311","+/-1,271",26.1,+/-1.0
610U800US42001,"Senate District 1 (2022), Pennsylvania",41,2 bedrooms,"36,354","+/-1,743",28.5,+/-1.2
610U800US42001,"Senate District 1 (2022), Pennsylvania",42,3 bedrooms,"35,504","+/-1,369",27.8,+/-1.0
