"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US45001,"State Senate District 1 (2022), South Carolina",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",0.5,,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",0.8,HOUSING OCCUPANCY,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",1,Total housing units,"51,782",+/-531,"51,782",(X)
610U800US45001,"State Senate District 1 (2022), South Carolina",2,Occupied housing units,"42,348",+/-952,81.8,+/-1.6
610U800US45001,"State Senate District 1 (2022), South Carolina",3,Vacant housing units,"9,434",+/-817,18.2,+/-1.6
610U800US45001,"State Senate District 1 (2022), South Carolina",3.3,,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",4,Homeowner vacancy rate,1.1,+/-0.4,(X),(X)
610U800US45001,"State Senate District 1 (2022), South Carolina",5,Rental vacancy rate,7.2,+/-2.0,(X),(X)
610U800US45001,"State Senate District 1 (2022), South Carolina",5.3,,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",5.5,UNITS IN STRUCTURE,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",6,Total housing units,"51,782",+/-531,"51,782",(X)
610U800US45001,"State Senate District 1 (2022), South Carolina",7,"1-unit, detached","31,892",+/-931,61.6,+/-1.7
610U800US45001,"State Senate District 1 (2022), South Carolina",8,"1-unit, attached","1,073",+/-273,2.1,+/-0.5
610U800US45001,"State Senate District 1 (2022), South Carolina",9,2 units,"1,671",+/-349,3.2,+/-0.7
610U800US45001,"State Senate District 1 (2022), South Carolina",10,3 or 4 units,"1,741",+/-393,3.4,+/-0.8
610U800US45001,"State Senate District 1 (2022), South Carolina",11,5 to 9 units,"1,253",+/-323,2.4,+/-0.6
610U800US45001,"State Senate District 1 (2022), South Carolina",12,10 to 19 units,"3,050",+/-509,5.9,+/-1.0
610U800US45001,"State Senate District 1 (2022), South Carolina",13,20 or more units,"1,781",+/-383,3.4,+/-0.7
610U800US45001,"State Senate District 1 (2022), South Carolina",14,Mobile home,"9,229",+/-682,17.8,+/-1.3
610U800US45001,"State Senate District 1 (2022), South Carolina",15,"Boat, RV, van, etc.",92,+/-53,0.2,+/-0.1
610U800US45001,"State Senate District 1 (2022), South Carolina",15.3,,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",15.5,YEAR STRUCTURE BUILT,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",16,Total housing units,"51,782",+/-531,"51,782",(X)
610U800US45001,"State Senate District 1 (2022), South Carolina",17,Built 2020 or later,178,+/-102,0.3,+/-0.2
610U800US45001,"State Senate District 1 (2022), South Carolina",18,Built 2010 to 2019,"4,589",+/-594,8.9,+/-1.1
610U800US45001,"State Senate District 1 (2022), South Carolina",19,Built 2000 to 2009,"10,341",+/-678,20.0,+/-1.3
610U800US45001,"State Senate District 1 (2022), South Carolina",20,Built 1990 to 1999,"10,254",+/-765,19.8,+/-1.5
610U800US45001,"State Senate District 1 (2022), South Carolina",21,Built 1980 to 1989,"8,091",+/-690,15.6,+/-1.3
610U800US45001,"State Senate District 1 (2022), South Carolina",22,Built 1970 to 1979,"7,512",+/-730,14.5,+/-1.4
610U800US45001,"State Senate District 1 (2022), South Carolina",23,Built 1960 to 1969,"4,425",+/-521,8.5,+/-1.0
610U800US45001,"State Senate District 1 (2022), South Carolina",24,Built 1950 to 1959,"3,018",+/-425,5.8,+/-0.8
610U800US45001,"State Senate District 1 (2022), South Carolina",25,Built 1940 to 1949,"1,415",+/-281,2.7,+/-0.5
610U800US45001,"State Senate District 1 (2022), South Carolina",26,Built 1939 or earlier,"1,959",+/-338,3.8,+/-0.7
610U800US45001,"State Senate District 1 (2022), South Carolina",26.3,,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",26.5,ROOMS,,,,
610U800US45001,"State Senate District 1 (2022), South Carolina",27,Total housing units,"51,782",+/-531,"51,782",(X)
610U800US45001,"State Senate District 1 (2022), South Carolina",28,1 room,956,+/-260,1.8,+/-0.5
610U800US45001,"State Senate District 1 (2022), South Carolina",29,2 rooms,984,+/-294,1.9,+/-0.6
610U800US45001,"State Senate District 1 (2022), South Carolina",30,3 rooms,"3,968",+/-488,7.7,+/-0.9
610U800US45001,"State Senate District 1 (2022), South Carolina",31,4 rooms,"9,157",+/-721,17.7,+/-1.3
610U800US45001,"State Senate District 1 (2022), South Carolina",32,5 rooms,"9,883",+/-772,19.1,+/-1.5
610U800US45001,"State Senate District 1 (2022), South Carolina",33,6 rooms,"9,051",+/-695,17.5,+/-1.3
