"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US46001,"State Senate District 1 (2022), South Dakota",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",0.5,,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",0.8,HOUSING OCCUPANCY,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",1,Total housing units,"13,296",+/-228,"13,296",(X)
610U800US46001,"State Senate District 1 (2022), South Dakota",2,Occupied housing units,"10,337",+/-256,77.7,+/-1.4
610U800US46001,"State Senate District 1 (2022), South Dakota",3,Vacant housing units,"2,959",+/-198,22.3,+/-1.4
610U800US46001,"State Senate District 1 (2022), South Dakota",3.3,,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",4,Homeowner vacancy rate,0.8,+/-0.4,(X),(X)
610U800US46001,"State Senate District 1 (2022), South Dakota",5,Rental vacancy rate,8.9,+/-2.6,(X),(X)
610U800US46001,"State Senate District 1 (2022), South Dakota",5.3,,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",5.5,UNITS IN STRUCTURE,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",6,Total housing units,"13,296",+/-228,"13,296",(X)
610U800US46001,"State Senate District 1 (2022), South Dakota",7,"1-unit, detached","11,076",+/-286,83.3,+/-1.5
610U800US46001,"State Senate District 1 (2022), South Dakota",8,"1-unit, attached",78,+/-31,0.6,+/-0.2
610U800US46001,"State Senate District 1 (2022), South Dakota",9,2 units,95,+/-43,0.7,+/-0.3
610U800US46001,"State Senate District 1 (2022), South Dakota",10,3 or 4 units,313,+/-71,2.4,+/-0.5
610U800US46001,"State Senate District 1 (2022), South Dakota",11,5 to 9 units,275,+/-62,2.1,+/-0.5
610U800US46001,"State Senate District 1 (2022), South Dakota",12,10 to 19 units,166,+/-53,1.2,+/-0.4
610U800US46001,"State Senate District 1 (2022), South Dakota",13,20 or more units,138,+/-49,1.0,+/-0.4
610U800US46001,"State Senate District 1 (2022), South Dakota",14,Mobile home,"1,123",+/-184,8.4,+/-1.4
610U800US46001,"State Senate District 1 (2022), South Dakota",15,"Boat, RV, van, etc.",32,+/-39,0.2,+/-0.3
610U800US46001,"State Senate District 1 (2022), South Dakota",15.3,,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",15.5,YEAR STRUCTURE BUILT,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",16,Total housing units,"13,296",+/-228,"13,296",(X)
610U800US46001,"State Senate District 1 (2022), South Dakota",17,Built 2020 or later,12,+/-11,0.1,+/-0.1
610U800US46001,"State Senate District 1 (2022), South Dakota",18,Built 2010 to 2019,"1,002",+/-154,7.5,+/-1.1
610U800US46001,"State Senate District 1 (2022), South Dakota",19,Built 2000 to 2009,"1,344",+/-151,10.1,+/-1.1
610U800US46001,"State Senate District 1 (2022), South Dakota",20,Built 1990 to 1999,975,+/-121,7.3,+/-0.9
610U800US46001,"State Senate District 1 (2022), South Dakota",21,Built 1980 to 1989,"1,292",+/-176,9.7,+/-1.3
610U800US46001,"State Senate District 1 (2022), South Dakota",22,Built 1970 to 1979,"2,140",+/-207,16.1,+/-1.6
610U800US46001,"State Senate District 1 (2022), South Dakota",23,Built 1960 to 1969,"1,068",+/-165,8.0,+/-1.2
610U800US46001,"State Senate District 1 (2022), South Dakota",24,Built 1950 to 1959,"1,080",+/-155,8.1,+/-1.2
610U800US46001,"State Senate District 1 (2022), South Dakota",25,Built 1940 to 1949,700,+/-142,5.3,+/-1.1
610U800US46001,"State Senate District 1 (2022), South Dakota",26,Built 1939 or earlier,"3,683",+/-234,27.7,+/-1.7
610U800US46001,"State Senate District 1 (2022), South Dakota",26.3,,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",26.5,ROOMS,,,,
610U800US46001,"State Senate District 1 (2022), South Dakota",27,Total housing units,"13,296",+/-228,"13,296",(X)
610U800US46001,"State Senate District 1 (2022), South Dakota",28,1 room,102,+/-49,0.8,+/-0.4
610U800US46001,"State Senate District 1 (2022), South Dakota",29,2 rooms,165,+/-48,1.2,+/-0.4
610U800US46001,"State Senate District 1 (2022), South Dakota",30,3 rooms,737,+/-98,5.5,+/-0.7
610U800US46001,"State Senate District 1 (2022), South Dakota",31,4 rooms,"1,738",+/-154,13.1,+/-1.2
