"GEOID","GEONAME","Line Number","Title","Estimate","Margin of Error","Percent Estimate","Percent Margin of Error"
610U800US50ADD,"Addison Senate District (2022), Vermont",0,SELECTED HOUSING CHARACTERISTICS,,,,
610U800US50ADD,"Addison Senate District (2022), Vermont",0.5,,,,,
610U800US50ADD,"Addison Senate District (2022), Vermont",0.8,HOUSING OCCUPANCY,,,,
610U800US50ADD,"Addison Senate District (2022), Vermont",1,Total housing units,"19,127",+/-224,"19,127",(X)
610U800US50ADD,"Addison Senate District (2022), Vermont",2,Occupied housing units,"15,883",+/-306,83.0,+/-1.3
610U800US50ADD,"Addison Senate District (2022), Vermont",3,Vacant housing units,"3,244",+/-251,17.0,+/-1.3
610U800US50ADD,"Addison Senate District (2022), Vermont",3.3,,,,,
610U800US50ADD,"Addison Senate District (2022), Vermont",4,Homeowner vacancy rate,1.1,+/-0.5,(X),(X)
610U800US50ADD,"Addison Senate District (2022), Vermont",5,Rental vacancy rate,4.5,+/-2.2,(X),(X)
610U800US50ADD,"Addison Senate District (2022), Vermont",5.3,,,,,
610U800US50ADD,"Addison Senate District (2022), Vermont",5.5,UNITS IN STRUCTURE,,,,
610U800US50ADD,"Addison Senate District (2022), Vermont",6,Total housing units,"19,127",+/-224,"19,127",(X)
610U800US50ADD,"Addison Senate District (2022), Vermont",7,"1-unit, detached","14,602",+/-347,76.3,+/-1.5
610U800US50ADD,"Addison Senate District (2022), Vermont",8,"1-unit, attached",377,+/-74,2.0,+/-0.4
610U800US50ADD,"Addison Senate District (2022), Vermont",9,2 units,"1,130",+/-209,5.9,+/-1.1
610U800US50ADD,"Addison Senate District (2022), Vermont",10,3 or 4 units,647,+/-146,3.4,+/-0.8
610U800US50ADD,"Addison Senate District (2022), Vermont",11,5 to 9 units,365,+/-107,1.9,+/-0.6
610U800US50ADD,"Addison Senate District (2022), Vermont",12,10 to 19 units,107,+/-48,0.6,+/-0.3
610U800US50ADD,"Addison Senate District (2022), Vermont",13,20 or more units,357,+/-104,1.9,+/-0.5
610U800US50ADD,"Addison Senate District (2022), Vermont",14,Mobile home,"1,533",+/-170,8.0,+/-0.9
610U800US50ADD,"Addison Senate District (2022), Vermont",15,"Boat, RV, van, etc.",9,+/-15,0.0,+/-0.1
610U800US50ADD,"Addison Senate District (2022), Vermont",15.3,,,,,
610U800US50ADD,"Addison Senate District (2022), Vermont",15.5,YEAR STRUCTURE BUILT,,,,
